customerDomain,Product,skuName,Creation date (PST),status,planName,Renewal date (PST),licensedNumberOfSeats,maximumNumberOfSeats,Customer uid,customerId,subscriptionId
1074vectors.com,Google Workspace,Google Workspace Business Starter,"March 21, 2022",Active,Flexible Plan,-,6,6,SFHN3khUGXzRiR,C0320dakz,3667742140
247compliance.com,Google Workspace,Google Workspace Business Starter,"March 25, 2022",Active,Flexible Plan,-,30,30,SsnS6pRhVUAf57,C00xlcywc,3683746274
247uniforms.ae,-,-,-,-,-,-,0,0,SYBB0zzLMOc5Hc,C03r88tdv,-
BeeEPICdaily.com,Google Workspace,Google Workspace Business Starter,"March 21, 2022",Active,Flexible Plan,-,2,2,SsWQ57Qw13i9lD,C02lkzohe,3667513612
Codelattice.nl,-,-,-,-,-,-,0,0,SAbO76akzwZ490,-,-
Mejorgroup.in,Google Workspace,G Suite Basic,"August 7, 2020",Suspended,Trial Plan,-,1,1,SVGrItB3Frz6x4,C02usi27e,1850782224
aabukhatir.com,Google Workspace,Google Workspace Business Starter,"March 21, 2022",Active,Flexible Plan,-,2,2,SRekwPBSDTgI0z,C03lmcw44,3667326395
aainfotechsolutions.com,Google Workspace,Google Workspace Business Starter,"March 21, 2022",Active,Flexible Plan,-,6,300,Sx6cPEpTW2YRMQ,C00x7j1n6,3670240454
aascglobal.com,Google Workspace,Google Workspace Business Starter,"March 21, 2022",Active,Flexible Plan,-,7,7,S9d0GQlL5ieiTv,C02g0clcz,3667452099
abdulazizrestaurant.com,Google Workspace,Google Workspace Business Starter,"August 30, 2021",Active,Flexible Plan,-,1,1,SzxJCwFuSlamAJ,C03ost9iv,3081559360
absolutetransit.com,Google Workspace,Google Workspace Business Starter,"October 4, 2021",Active,Flexible Plan,-,4,4,SSyJOHfx69PufJ,C01sjsqhe,3187474848
acechats.com,Google Workspace,Google Workspace Business Starter,"July 21, 2021",Active,Flexible Plan,-,4,4,SdedQ1y7yBW9ne,C02ek265c,2979667321
acettech.com,Google Workspace,Google Workspace Business Starter,"March 21, 2022",Active,Flexible Plan,-,1,1,SQbQyuYwtAhfW8,C03wv44po,3667465823
